Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,42136.1207908003
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,1900.3978364641
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,17923.9668134721
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,48181.874188064
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,8849.51353500776
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,35052.8079075238
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,4173.28130287658
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,720.47325520799
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,642.666390083655
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,5905.38019563205
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1313.18609516523
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2295.53623075587
GDP per capita (current US$),NY.GDP.PCAP.CD,Hong Kong SAR, China,HKG,43734.1980702999
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,13104.6995457458
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,61987.9263620283
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1714.2795405846
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,3558.81885174287
GDP per capita (current US$),NY.GDP.PCAP.CD,Iran, Islamic Rep.,IRN,5497.24323256491
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,4305.20270154631
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,62895.9111239299
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,82041.6210499781
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,37690.4739511859
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,30960.7315088911
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,5022.70332766053
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,39375.4731620781
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4003.40474641177
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,7714.84184376024
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1562.07661095478
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1506.23102993198
GDP per capita (current US$),NY.GDP.PCAP.CD,Korea, Dem. People's Rep.,PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Korea, Rep.,KOR,29288.8704389833
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,3759.47103972559
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,27026.6481960811
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1120.66706080157
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2309.0490761946
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,14331.7515885053
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,8172.29947595953
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,986.265256814218
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,722.131226789418
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,7945.00605016919
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,165845.928847599
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,15008.313244553
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,106899.293549555
GDP per capita (current US$),NY.GDP.PCAP.CD,Macao SAR, China"",MAC,71919.0526699551
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,5149.58676436907
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,464.616158414292
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,454.443266065248
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,9555.64733478683
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,9640.31919054401
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,750.051809022529
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,25623.855626725
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,4153.11717602268
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1579.19930100836
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,9965.72521738767
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,8875.08206876137
GDP per capita (current US$),NY.GDP.PCAP.CD,Micronesia, Fed. Sts.,FSM,3022.65362747328
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,2847.63506882245
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,174606.493834998
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,3690.7567775547
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,7033.43800629458
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3132.9521484375
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,430.992945098065
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1161.86181771761
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,4614.89217952266
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,8528.62766313758
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,880.224893683469
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,46039.105928411
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,32286.9105568684
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,40058.1961621466
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,2079.44552907512
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,497.036120778867
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2144.77993839856
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,24054.9156122269
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,70867.3609970749
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,17082.2061998982
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1468.82207690892
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,16743.376740009
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,14382.2323819969
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2332.6756636019
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,5759.01833315657
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,6163.86117862599
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3038.15204593606
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,12378.8117640735
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,19991.9724878811
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,30627.1634017011
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,58467.2355711087
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,9404.38048702324
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,8704.89453125
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,728.806677024971
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4105.81068128252
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,43398.4285242172
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1688.37530288509
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,19930.407543816
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1290.74997113225
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,5765.20335248009
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,15409.8050193774
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,515.44783140804
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,56895.6433372978
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,31616.6816992667
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,16563.4404971233
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,21678.3594670635
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2196.28390774566
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,387.186681561763
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,5735.06678717842
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,26537.1594894549
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,4107.82976157993
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,21095.2540386708
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,10574.3025992667
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,7684.7792821395
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,2614.29443359375
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,5705.39923222194
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3339.99042721438
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,51965.1571531985
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,82153.0745447889
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,664.341672265103
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,801.39383995978
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,942.88134765625
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,5854.46385243079
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1347.92636060894
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,787.280161556316
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,3978.43821197087
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,15991.1087914364
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3796.10901086093
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,10734.2564687192
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,6163.25340597611
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,26995.0321602259
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,3836.07307089399
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,753.684405538911
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,2187.7275390625
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,41054.5395698941
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,41146.0773555246
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,57866.7449341091
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,16837.9403803049
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,2704.67718855008
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,2757.20330593386
GDP per capita (current US$),NY.GDP.PCAP.CD,Venezuela, RB,VEN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Viet Nam,VNM,2760.7171010752
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,35324.9748874586
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,3527.61382413178
GDP per capita (current US$),NY.GDP.PCAP.CD,Yemen, Rep.,YEM,1069.81699688467
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1249.92314348406
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1421.78779140568
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,6113.39773758358
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,9769.46964089534
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,12782.2222396049
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,3264.72507479012
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,9855.05982291635
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,6591.13640599459
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,6664.81340856374
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,35164.0647840609
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,22380.6179946978
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,7044.68473024733
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,7640.98436011711
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,31175.2158538517
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,1735.35624838942
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,978.109791276521
GDP per capita (current US$),NY.GDP.PCAP.CD,High income,HIC,40436.3619417573
GDP per capita (current US$),NY.GDP.PCAP.CD,IBRD only,IBD,5513.37201767983
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,4455.01334108557
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,1818.7524929092
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA only,IDX,1128.68034518962
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA total,IDA,1358.88632920905
GDP per capita (current US$),NY.GDP.PCAP.CD,Late-demographic dividend,LTE,8182.50377942849
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean,LCN,8363.88418721044
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,7912.27908614332
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8199.54481275202
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,1016.0809259919
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,4312.05125164811
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,743.60366854985
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,2035.51134139588
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa,MEA,7158.04931084411
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,3832.82046747944
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,3836.32167107753
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,4690.37407299098
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,56312.4348848537
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,..
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,36050.9052347759
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,12092.1033399975
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,3866.86192070379
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,41372.2823086822
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1382.13840053726
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,11165.6026482055
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1675.3676225853
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1675.3676225853
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1521.52750951476
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1520.25837569558
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1521.52750951476
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,7590.18239180598
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,10208.8699002511
